,,,2.46E-08,-0.000220000069
,,,2.47E-08,-0.000220000069
,,,2.48E-08,-0.000220000069
,,,2.49E-08,-0.000220000069
,,,2.5E-08,-0.000260000071
,,,2.51E-08,-0.000260000071
,,,2.52E-08,-0.000260000071
,,,2.53E-08,-0.000260000071
,,,2.54E-08,-0.000260000071
,,,2.55E-08,-0.000260000071
,,,2.56E-08,-0.000260000071
,,,2.57E-08,-0.000260000071
,,,2.58E-08,-0.000260000071
,,,2.59E-08,-0.000260000071
,,,2.6E-08,-0.000260000071
,,,2.61E-08,-0.000220000069
,,,2.62E-08,-0.000220000069
,,,2.63E-08,-0.000260000071
,,,2.64E-08,-0.000220000069
,,,2.65E-08,-0.000220000069
,,,2.66E-08,-0.000140000065
,,,2.67E-08,-0.000140000065
,,,2.68E-08,-0.000100000063
,,,2.69E-08,-6.00000611E-05
,,,2.7E-08,-6.00000611E-05
,,,2.71E-08,-2.00000592E-05
,,,2.72E-08,-2.00000592E-05
,,,2.73E-08,-2.00000592E-05
,,,2.74E-08,5.99999446E-05
,,,2.75E-08,1.99999427E-05
,,,2.76E-08,5.99999446E-05
,,,2.77E-08,5.99999446E-05
,,,2.78E-08,5.99999446E-05
,,,2.79E-08,5.99999446E-05
,,,2.8E-08,5.99999446E-05
,,,2.81E-08,1.99999427E-05
,,,2.82E-08,1.99999427E-05
,,,2.83E-08,-2.00000592E-05
,,,2.84E-08,-2.00000592E-05
,,,2.85E-08,-2.00000592E-05
,,,2.86E-08,-0.000100000063
,,,2.87E-08,-0.000100000063
,,,2.88E-08,-0.000100000063
,,,2.89E-08,-0.000100000063
,,,2.9E-08,-0.000100000063
,,,2.91E-08,-0.000100000063
,,,2.92E-08,-0.000100000063
,,,2.93E-08,-0.000140000065
,,,2.94E-08,-0.000140000065
,,,2.95E-08,-0.000180000067
,,,2.96E-08,-0.000140000065
,,,2.97E-08,-0.000140000065
,,,2.98E-08,-0.000100000063
,,,2.99E-08,-0.000100000063
,,,3E-08,-0.000100000063
,,,3.01E-08,-0.000100000063
,,,3.02E-08,-0.000140000065
,,,3.03E-08,-0.000100000063
,,,3.04E-08,-0.000100000063
,,,3.05E-08,-0.000100000063
,,,3.06E-08,-0.000100000063
,,,3.07E-08,-6.00000611E-05
,,,3.08E-08,-2.00000592E-05
,,,3.09E-08,1.99999427E-05
,,,3.1E-08,1.99999427E-05
,,,3.11E-08,1.99999427E-05
,,,3.12E-08,5.99999446E-05
,,,3.13E-08,5.99999446E-05
,,,3.14E-08,9.99999465E-05
,,,3.15E-08,0.000139999948
,,,3.16E-08,0.000139999948
,,,3.17E-08,5.99999446E-05
,,,3.18E-08,9.99999465E-05
,,,3.19E-08,9.99999465E-05
,,,3.2E-08,0.000139999948
,,,3.21E-08,9.99999465E-05
,,,3.22E-08,9.99999465E-05
,,,3.23E-08,9.99999465E-05
,,,3.24E-08,9.99999465E-05
,,,3.25E-08,9.99999465E-05
,,,3.26E-08,5.99999446E-05
,,,3.27E-08,5.99999446E-05
,,,3.28E-08,5.99999446E-05
,,,3.29E-08,1.99999427E-05
,,,3.3E-08,5.99999446E-05
,,,3.31E-08,1.99999427E-05
,,,3.32E-08,1.99999427E-05
,,,3.33E-08,1.99999427E-05
,,,3.34E-08,-2.00000592E-05
,,,3.35E-08,-2.00000592E-05
,,,3.36E-08,-6.00000611E-05
,,,3.37E-08,-6.00000611E-05
,,,3.38E-08,-0.000100000063
,,,3.39E-08,-0.000100000063
,,,3.4E-08,-0.000100000063
,,,3.41E-08,-0.000100000063
,,,3.42E-08,-0.000140000065
,,,3.43E-08,-0.000140000065
,,,3.44E-08,-0.000100000063
,,,3.45E-08,-0.000100000063
,,,3.46E-08,-0.000140000065
,,,3.47E-08,-0.000100000063
,,,3.48E-08,-6.00000611E-05
,,,3.49E-08,-0.000140000065
,,,3.5E-08,-0.000100000063
,,,3.51E-08,-6.00000611E-05
,,,3.52E-08,-0.000100000063
,,,3.53E-08,-6.00000611E-05
,,,3.54E-08,-0.000100000063
,,,3.55E-08,-0.000100000063
,,,3.56E-08,-0.000100000063
,,,3.57E-08,-0.000100000063
,,,3.58E-08,-6.00000611E-05
,,,3.59E-08,-0.000100000063
,,,3.6E-08,-0.000100000063
,,,3.61E-08,-0.000100000063
,,,3.62E-08,-0.000100000063
,,,3.63E-08,-0.000100000063
,,,3.64E-08,-0.000100000063
,,,3.65E-08,-0.000100000063
,,,3.66E-08,-0.000100000063
,,,3.67E-08,-0.000100000063
,,,3.68E-08,-0.000140000065
,,,3.69E-08,-0.000100000063
,,,3.7E-08,-0.000140000065
,,,3.71E-08,-0.000140000065
,,,3.72E-08,-0.000180000067
,,,3.73E-08,-0.000220000069
,,,3.74E-08,-0.000180000067
,,,3.75E-08,-0.000180000067
,,,3.76E-08,-0.000220000069
,,,3.77E-08,-0.000260000071
,,,3.78E-08,-0.000260000071
,,,3.79E-08,-0.000300000072
,,,3.8E-08,-0.000260000071
,,,3.81E-08,-0.000260000071
,,,3.82E-08,-0.000300000072
,,,3.83E-08,-0.000300000072
,,,3.84E-08,-0.000300000072
,,,3.85E-08,-0.000260000071
,,,3.86E-08,-0.000220000069
,,,3.87E-08,-0.000260000071
,,,3.88E-08,-0.000180000067
,,,3.89E-08,-0.000220000069
,,,3.9E-08,-0.000180000067
,,,3.91E-08,-0.000180000067
,,,3.92E-08,-0.000140000065
,,,3.93E-08,-0.000140000065
,,,3.94E-08,-0.000140000065
,,,3.95E-08,-0.000100000063
,,,3.96E-08,-0.000100000063
,,,3.97E-08,-0.000100000063
,,,3.98E-08,-6.00000611E-05
,,,3.99E-08,-6.00000611E-05
,,,4E-08,-6.00000611E-05
,,,4.01E-08,-6.00000611E-05
,,,4.02E-08,-6.00000611E-05
,,,4.03E-08,-2.00000592E-05
,,,4.04E-08,-2.00000592E-05
,,,4.05E-08,-2.00000592E-05
,,,4.06E-08,1.99999427E-05
,,,4.07E-08,1.99999427E-05
,,,4.08E-08,1.99999427E-05
,,,4.09E-08,1.99999427E-05
,,,4.1E-08,-2.00000592E-05
,,,4.11E-08,1.99999427E-05
,,,4.12E-08,1.99999427E-05
,,,4.13E-08,1.99999427E-05
,,,4.14E-08,1.99999427E-05
,,,4.15E-08,1.99999427E-05
,,,4.16E-08,-2.00000592E-05
,,,4.17E-08,1.99999427E-05
,,,4.18E-08,-2.00000592E-05
,,,4.19E-08,-2.00000592E-05
,,,4.2E-08,-2.00000592E-05
,,,4.21E-08,-2.00000592E-05
,,,4.22E-08,-2.00000592E-05
,,,4.23E-08,-2.00000592E-05
,,,4.24E-08,-2.00000592E-05
,,,4.25E-08,-6.00000611E-05
,,,4.26E-08,-6.00000611E-05
,,,4.27E-08,-6.00000611E-05
,,,4.28E-08,-6.00000611E-05
,,,4.29E-08,-2.00000592E-05
,,,4.3E-08,-2.00000592E-05
,,,4.31E-08,-2.00000592E-05
,,,4.32E-08,1.99999427E-05
,,,4.33E-08,5.99999446E-05
,,,4.34E-08,1.99999427E-05
,,,4.35E-08,-2.00000592E-05
,,,4.36E-08,-6.00000611E-05
,,,4.37E-08,-6.00000611E-05
,,,4.38E-08,-6.00000611E-05
,,,4.39E-08,-2.00000592E-05
,,,4.4E-08,-6.00000611E-05
,,,4.41E-08,-6.00000611E-05
,,,4.42E-08,-6.00000611E-05
,,,4.43E-08,-6.00000611E-05
,,,4.44E-08,-6.00000611E-05
,,,4.45E-08,-6.00000611E-05
,,,4.46E-08,-6.00000611E-05
,,,4.47E-08,-6.00000611E-05
,,,4.48E-08,-0.000100000063
,,,4.49E-08,-6.00000611E-05
,,,4.5E-08,-6.00000611E-05
,,,4.51E-08,-6.00000611E-05
,,,4.52E-08,-0.000100000063
,,,4.53E-08,-0.000100000063
,,,4.54E-08,-0.000100000063
,,,4.55E-08,-6.00000611E-05
,,,4.56E-08,-2.00000592E-05
,,,4.57E-08,-2.00000592E-05
,,,4.58E-08,-6.00000611E-05
,,,4.59E-08,-2.00000592E-05
,,,4.6E-08,-2.00000592E-05
,,,4.61E-08,-2.00000592E-05
,,,4.62E-08,-6.00000611E-05
,,,4.63E-08,-2.00000592E-05
,,,4.64E-08,-6.00000611E-05
,,,4.65E-08,-2.00000592E-05
,,,4.66E-08,-6.00000611E-05
,,,4.67E-08,-2.00000592E-05
,,,4.68E-08,-6.00000611E-05
,,,4.69E-08,-0.000100000063
,,,4.7E-08,-0.000100000063
,,,4.71E-08,-0.000100000063
,,,4.72E-08,-6.00000611E-05
,,,4.73E-08,-6.00000611E-05
,,,4.74E-08,-6.00000611E-05
,,,4.75E-08,-0.000100000063
,,,4.76E-08,-6.00000611E-05
,,,4.77E-08,-2.00000592E-05
,,,4.78E-08,-6.00000611E-05
,,,4.79E-08,-2.00000592E-05
,,,4.8E-08,-6.00000611E-05
,,,4.81E-08,-2.00000592E-05
,,,4.82E-08,1.99999427E-05
,,,4.83E-08,-2.00000592E-05
,,,4.84E-08,1.99999427E-05
,,,4.85E-08,1.99999427E-05
,,,4.86E-08,5.99999446E-05
,,,4.87E-08,5.99999446E-05
,,,4.88E-08,1.99999427E-05
,,,4.89E-08,5.99999446E-05
,,,4.9E-08,1.99999427E-05
,,,4.91E-08,1.99999427E-05
,,,4.92E-08,1.99999427E-05
,,,4.93E-08,1.99999427E-05
,,,4.94E-08,1.99999427E-05
,,,4.95E-08,1.99999427E-05
,,,4.96E-08,1.99999427E-05
,,,4.97E-08,1.99999427E-05
,,,4.98E-08,-2.00000592E-05
,,,4.99E-08,-2.00000592E-05
,,,5E-08,-2.00000592E-05
,,,5.01E-08,-6.00000611E-05
,,,5.02E-08,-2.00000592E-05
,,,5.03E-08,-0.000100000063
,,,5.04E-08,-2.00000592E-05
,,,5.05E-08,-6.00000611E-05
,,,5.06E-08,-6.00000611E-05
,,,5.07E-08,-0.000100000063
,,,5.08E-08,-0.000140000065
,,,5.09E-08,-0.000100000063
,,,5.1E-08,-0.000140000065
,,,5.11E-08,-0.000140000065
,,,5.12E-08,-0.000180000067
,,,5.13E-08,-0.000220000069
,,,5.14E-08,-0.000220000069
,,,5.15E-08,-0.000260000071
,,,5.16E-08,-0.000220000069
,,,5.17E-08,-0.000220000069
,,,5.18E-08,-0.000220000069
,,,5.19E-08,-0.000220000069
,,,5.2E-08,-0.000260000071
,,,5.21E-08,-0.000180000067
,,,5.22E-08,-0.000260000071
,,,5.23E-08,-0.000220000069
,,,5.24E-08,-0.000220000069
,,,5.25E-08,-0.000180000067
,,,5.26E-08,-0.000220000069
,,,5.27E-08,-0.000180000067
,,,5.28E-08,-0.000180000067
,,,5.29E-08,-0.000180000067
